id,text,H-tsukiji,kohei1110
0," ishikawa/.txt	-- ::. 
",0,0
1,技術系チャットを利用した,0,0
2,ブレインストーミングを,0.137360564,0
3,対象とした情報統合,0,0
4,ディアや意見を,0,0
5,タグで記録,0.079305159,0
6,してもらう．,0,0
8,ブレインストーミングで記録されたアイディアや意見を,0.051917413,0
9,評価,0.274721128,0
10,す,0,0
11,ることで，議論やアイディアの統合を目指す．,0.122859023,0
12,ブレインストーミングの流,0.097128586,0
13,れ,0,0
15,設定されたテーマの概要を参加者が把握する,0.091573709,0.178174161
17,テーマを元にアイディアや考えを自由に発言，他参加者のア,0,0
18,イディアに対する考えなども共有する,0.137360564,0.133630621
20,集まったアイディアに対して賛成や反対をする（,0.122859023,0.119522861
21,BS,0,0
22,終了後）,0,0
24,共感の多かったアイディアをテーマへの答えとして利用する,0.103834826,0.101015254
25,ブレインストーミングの,0.137360564,0
26,評価,0.274721128,0
27,以下を用いてブレインストーミングの評価をおこなう．,0.184288535,0
29,アイディア数,0,0
31,発言数,0,0
33,チャット以外（オンラインホワイトボードなど）を利用したか,0,0
35,解決方法の導出（導出にいたった経緯で細分化）,0,0
37,全員一致でテーマに対する答えが出た場合,0,0
39,誰かの反対や疑問がありながらも答えが出た場合,0,0
41,全員反対な答えなどの中からあいにく見つけてきた場合,0,0
43,答えが見つからなかった場合,0,0
44,ブレインストーミングを,0.137360564,0
45,タグに置き換える例,0.079305159,0
47,新しいシステムや既存の機能に対するアイディア,0,0
48,出て,0,0
49,きたアイディアに対する補足意見や考えなど,0,0
51,タグとして考えると「,0.097128586,0
52,開発,0,0
53,」「実装」「,0,0
54,アイディア,0,0
55,」「賛成」「反,0,0
56,対」が挙げられる．,0,0
57,議論の場,0,0
58,タグによる議論の分類,0.079305159,0
59,発言の類似度の抽出・評価,0.122859023,0
60,発言の類似度の抽出・評価,0.122859023,0
62,：単語の周辺にどの単語が登場するかの確率でモデル,0.082831537,0.080582296
63,化する手法,0.158610317,0.15430335
64,技術系チャット,0,0
65,に投稿されていそうな会話（,0,0
66,発言）,0,0
67,とそれに応答する発言を,0.122859023,0.119522861
68,組み合わせた,0,0
69,文章のこと,0.194257172,0
70,の発言に対する,0,0
71,の応答（発言）をあわせたセットのこと．,0.122859023,0
72,環境,0,0
74,自作,0,0
75,した,0,0
76,発言データ,0,0
77,件を利用した,0,0
78,実験,0.412081692,0.267261242
80,発言セット同士をタグのみの比較と内容のみの比較をして，,0.086874449,0
81,類似度がどう出てくるかを示す,0,0.109108945
82,環境,0,0
84,Slack,0,0
85,でおこなったブレインストーミングのデータを利用,0.068680282,0
86,実験,0.412081692,0.267261242
87,ブレインストーミングと良いプロダクトの相関,0.056077215,0
88,実験,0.412081692,0.267261242
90,スコアにより分類された発言データを用いた自動分類,0,0
91,様々な手段での議論・会話への対応,0,0
,,,
,,4.58340183,1.797644075
